filename,neck,sleeve_length,pattern
cdc8cd2a-0938-4970-a3b5-f5ed9595222c1527925869345-Basics-Men-Grey-Printed-Polo-Collar-T-shirt-9971527925869171-3.jpg,6,#N/A,4
11469770662809-Metersbonwe-Navy-T-shirt-4851469770656421-3.jpg,5,3,9
11479107741104-Tommy-Hilfiger-Men-Navy-Blue-Striped-Polo-Collar-T-Shirt-7931479107740824-2.jpg,6,1,9
f7ad67ab-eeb1-4449-8f63-7b580d2797e71532342804532-HRX-by-Hrithik-Roshan-Men-Tshirts-6371532342803346-5.jpg,#N/A,0,9
11516770810185-Splash-Men-Tshirts-7671516770810043-1.jpg,6,3,9
11505295751483-FOREVER-21-Men-White-Self-Design-Hood-T-shirt-2641505295751246-2.jpg,1,3,#N/A
11519111005679-United-Colors-of-Benetton-Men-Burgundy-Solid-Lounge-T-shirt-18P3096VN02DI-7241519111005578-4.jpg,5,3,9
11461827372049-US-Polo-Assn-Navy-T-shirt-2071461827371893-5.jpg,5,3,9
90044561-8959-460a-a650-49a6772237931537435887885-Levis-Men-Black-Striped-Polo-Collar-T-shirt-1591537435887702-2.jpg,#N/A,#N/A,9
f617edb8-a874-453b-b6d3-fb860248d5191532955920783-Moda-Rapido-Men-Black-Solid-Round-Neck-T-shirt-2601532955919-6.jpg,4,3,9
11520918258005-Vudu-Mens-Casual-Grey-Color-T-Shirt-4091520918257919-5.jpg,6,#N/A,9
11519017746785-Difference-of-Opinion-Khaki-Printed-T-shirt-4691519017746535-1.jpg,6,3,#N/A
94b6ab4b-50c9-4d10-847a-4b4482531d651529052514444-HRX-by-Hrithik-Roshan-Men-White-Printed-Round-Neck-T-shirt-4-2.jpg,6,3,8
4df52141-a091-46c6-862f-141ce603ce311533038735776-Lee-Men-Tshirts-7221533038734436-1.jpg,#N/A,3,6
11521439112825-Duke-Mens-Tshirts-9231521439112686-5.jpg,5,3,9
11521793826502-Wear-Your-Mind-Grey-Vest-For-Men-9771521793826347-2.jpg,6,2,#N/A
11491288646955-FOREVER-21-Men-Tshirts-5191491288646687-1.jpg,1,3,9
cd9b9487-f147-4e06-ae2c-9759d4d67e6b1527144425607-Hypernation-Men-Olive-Green-Colourblocked-Round-Neck-T-shirt-911527144425422-2.jpg,6,#N/A,9
ec4a6f2f-a45e-4a59-b98b-10adf566c1721535008439715-Kappa-Men-Navy-Blue-Striped-Polo-Collar-T-shirt-195153500843-2.jpg,6,3,9
01964354-8603-4480-b77d-e4878da771301528525592577-Killer-Men-Blue-Colourblocked-Round-Neck-T-shirt-74515285255-2.jpg,6,1,#N/A
dd554569-d81b-4435-ae42-3c9cc779bfd71528538836804-Gmcks-Men-Tshirts-1961528538836634-4.jpg,4,3,9
11483007751246-HIGHLANDER-Men-Black-Colour-Blocked-Round-Neck-T-Shirt-2641483007751037-4.jpg,#N/A,0,9
268371df-22e4-4806-9452-8fcbdee5356d1529053730288-United-Colors-of-Benetton-Men-Tshirts-9491529053730186-4.jpg,0,#N/A,9
11490246880192-Louis-Philippe-Men-White-Checked-Polo-Collar-T-Shirt-1811490246880043-4.jpg,6,3,1
11504176194678-Sporto-Red-Men-Tshirts-2131504176194521-2.jpg,#N/A,#N/A,9
11506586068470-FOREVER-21-Men-Pink-Solid-Hood-T-shirt-5411506586068289-2.jpg,#N/A,3,#N/A
11521788164656-Wear-Your-Mind-Black-Vest-For-Men-9591521788164560-4.jpg,6,2,#N/A
ba3a2fab-50f6-48ee-ad9b-e5be053d8bae1527492637021-na-8961527492636894-4.jpg,6,#N/A,4
11519728187382-Tommy-Hilfiger-Men-Blue-Solid-Round-Neck-T-shirt-3501519728187219-1.jpg,6,2,#N/A
11519650806857-Indian-Terrain-Men-Blue-Striped-Polo-Collar-T-shirt-3821519650806753-4.jpg,6,3,#N/A
11518154664462-aLL-Men-Tshirts-2111518154664312-4.jpg,0,#N/A,9
11516598513216-Gespo-Hooded-Long-Sleeves-Printed-T-shirt-1601516598513137-4.jpg,1,3,9
11519985126100-Numero-Uno-Men-Tshirts-9971519985126011-5.jpg,#N/A,3,#N/A
ca148e7b-d96f-46b6-b6ad-670392eb473d1535175544352-United-Colors-of-Benetton-Men-Tshirts-7561535175544213-3.jpg,0,3,9
